24,group1word3,group1word6,0.5,0.1,1470895190163532000
25,group1word6,group1word3,0.5,0.1,1470895190163617658
25,group1word6,group1word3,0.525,0.166667,1470895190163650034
25,group1word6,group1word3,0.541964,0.224138,1470895190163730269
25,group1word6,group1word3,0.554688,0.274194,1470895190163788934
25,group1word6,group1word3,0.564808,0.318182,1470895190163850421
25,group1word6,group1word3,0.573177,0.357143,1470895190163888659
25,group1word6,group1word3,0.580291,0.391892,1470895190163932349
25,group1word6,group1word3,0.586463,0.423077,1470895190163962004
25,group1word6,group1word3,0.591904,0.45122,1470895190163995729
25,group1word6,group1word3,0.596762,0.476744,1470895190164024478
25,group1word6,group1word3,0.601145,0.5,1470895190164061169
25,group1word6,group1word3,0.605133,0.521277,1470895190164090358
25,group1word6,group1word3,0.608789,0.540816,1470895190164127065
25,group1word6,group1word3,0.612161,0.558824,1470895190164169355
25,group1word6,group1word3,0.615289,0.575472,1470895190164198321
25,group1word6,group1word3,0.618203,0.590909,1470895190164235165
25,group1word6,group1word3,0.62093,0.605263,1470895190164265643
25,group1word6,group1word3,0.623491,0.618644,1470895190164301465
25,group1word6,group1word3,0.625905,0.631148,1470895190164343805
25,group1word6,group1word3,0.628185,0.642857,1470895190164384802
25,group1word6,group1word3,0.630347,0.653846,1470895190164413821
25,group1word6,group1word3,0.6324,0.664179,1470895190164450551
25,group1word6,group1word3,0.634356,0.673913,1470895190164492828
25,group1word6,group1word3,0.636221,0.683099,1470895190164521783
25,group1word6,group1word3,0.638004,0.691781,1470895190164556551
25,group1word6,group1word3,0.639711,0.7,1470895190164585474
25,group1word6,group1word3,0.641349,0.707792,1470895190164622179
25,group1word6,group1word3,0.642922,0.71519,1470895190164651058
25,group1word6,group1word3,0.644435,0.722222,1470895190164687481
25,group1word6,group1word3,0.645892,0.728916,1470895190164716738
25,group1word6,group1word3,0.647297,0.735294,1470895190164752860
25,group1word6,group1word3,0.648654,0.741379,1470895190164795004
25,group1word6,group1word3,0.649964,0.747191,1470895190164823965
25,group1word6,group1word3,0.651233,0.752747,1470895190164892449
25,group1word6,group1word3,0.652461,0.758065,1470895190164935745
25,group1word6,group1word3,0.653651,0.763158,1470895190164977785
25,group1word6,group1word3,0.654805,0.768041,1470895190165020638
25,group1word6,group1word3,0.655926,0.772727,1470895190165063258
25,group1word6,group1word3,0.657015,0.777228,1470895190165107302
25,group1word6,group1word3,0.658073,0.781553,1470895190165148659
25,group1word6,group1word3,0.659103,0.785714,1470895190165179619
25,group1word6,group1word3,0.660105,0.78972,1470895190165223486
25,group1word6,group1word3,0.661082,0.793578,1470895190165264160
25,group1word6,group1word3,0.662034,0.797297,1470895190165294911
25,group1word6,group1word3,0.662962,0.800885,1470895190165321879
25,group1word6,group1word3,0.663868,0.804348,1470895190165348879
25,group1word6,group1word3,0.664753,0.807692,1470895190165385770
25,group1word6,group1word3,0.665617,0.810924,1470895190165428709
25,group1word6,group1word3,0.666461,0.81405,1470895190165471028
25,group1word6,group1word3,0.667287,0.817073,1470895190165512896
25,group1word6,group1word3,0.668094,0.82,1470895190165542529
25,group1word6,group1word3,0.668884,0.822835,1470895190165575987
25,group1word6,group1word3,0.669658,0.825581,1470895190165619556
25,group1word6,group1word3,0.670416,0.828244,1470895190165650005
25,group1word6,group1word3,0.671158,0.830827,1470895190165676674
25,group1word6,group1word3,0.671885,0.833333,1470895190165704001
25,group1word6,group1word3,0.672599,0.835766,1470895190165740976
25,group1word6,group1word3,0.673298,0.838129,1470895190165783967
25,group1word6,group1word3,0.673984,0.840425,1470895190165826645
25,group1word6,group1word3,0.674658,0.842657,1470895190165890341
25,group1word6,group1word3,0.675319,0.844828,1470895190165931634
25,group1word6,group1word3,0.675968,0.846939,1470895190165974472
25,group1word6,group1word3,0.676606,0.848993,1470895190166016903
25,group1word6,group1word3,0.677233,0.850993,1470895190166053274
25,group1word6,group1word3,0.677849,0.852941,1470895190166093382
25,group1word6,group1word3,0.678454,0.854839,1470895190166125410
25,group1word6,group1word3,0.67905,0.856688,1470895190166151591
25,group1word6,group1word3,0.679635,0.858491,1470895190166179093
25,group1word6,group1word3,0.680211,0.860248,1470895190166227772
25,group1word6,group1word3,0.680778,0.861963,1470895190166271139
25,group1word6,group1word3,0.681336,0.863636,1470895190166313751
25,group1word6,group1word3,0.681886,0.865269,1470895190166356502
25,group1word6,group1word3,0.682427,0.866864,1470895190166399080
25,group1word6,group1word3,0.68296,0.868421,1470895190166441355
25,group1word6,group1word3,0.683484,0.869942,1470895190166483832
25,group1word6,group1word3,0.684002,0.871429,1470895190166526125
25,group1word6,group1word3,0.684511,0.872881,1470895190166568313
25,group1word6,group1word3,0.685014,0.874302,1470895190166610783
25,group1word6,group1word3,0.685509,0.875691,1470895190166640847
25,group1word6,group1word3,0.685997,0.877049,1470895190166674561
25,group1word6,group1word3,0.686479,0.878378,1470895190166717559
25,group1word6,group1word3,0.686954,0.879679,1470895190166759393
25,group1word6,group1word3,0.687422,0.880952,1470895190166801925
25,group1word6,group1word3,0.687885,0.882199,1470895190166844179
25,group1word6,group1word3,0.688341,0.88342,1470895190166886443
25,group1word6,group1word3,0.688791,0.884615,1470895190166929934
25,group1word6,group1word3,0.689236,0.885787,1470895190166960433
25,group1word6,group1word3,0.689675,0.886935,1470895190166987275
25,group1word6,group1word3,0.690108,0.88806,1470895190167014712
25,group1word6,group1word3,0.690536,0.889163,1470895190167051669
25,group1word6,group1word3,0.690959,0.890244,1470895190167094564
25,group1word6,group1word3,0.691376,0.891304,1470895190167136717
25,group1word6,group1word3,0.691789,0.892344,1470895190167178507
25,group1word6,group1word3,0.692196,0.893365,1470895190167220503
25,group1word6,group1word3,0.692599,0.894366,1470895190167262296
25,group1word6,group1word3,0.692998,0.895349,1470895190167304383
25,group1word6,group1word3,0.693391,0.896313,1470895190167346252
25,group1word6,group1word3,0.69378,0.89726,1470895190167388018
25,group1word6,group1word3,0.694165,0.89819,1470895190167430090
25,group1word6,group1word3,0.694545,0.899103,1470895190167472232
25,group1word6,group1word3,0.694921,0.9,1470895190167514469
25,group1word6,group1word3,0.695293,0.900881,1470895190167556768
25,group1word6,group1word3,0.695661,0.901747,1470895190167598894
25,group1word6,group1word3,0.696025,0.902597,1470895190167640725
25,group1word6,group1word3,0.696385,0.903434,1470895190167683742
25,group1word6,group1word3,0.696742,0.904255,1470895190167726134
25,group1word6,group1word3,0.697094,0.905063,1470895190167768983
25,group1word6,group1word3,0.697443,0.905858,1470895190167799688
25,group1word6,group1word3,0.697789,0.906639,1470895190167826732
25,group1word6,group1word3,0.69813,0.907407,1470895190167854112
25,group1word6,group1word3,0.698469,0.908163,1470895190167890822
25,group1word6,group1word3,0.698804,0.908907,1470895190167933411
25,group1word6,group1word3,0.699136,0.909639,1470895190167976112
25,group1word6,group1word3,0.699464,0.910359,1470895190168006679
25,group1word6,group1word3,0.699789,0.911067,1470895190168033635
25,group1word6,group1word3,0.700111,0.911765,1470895190168060712
25,group1word6,group1word3,0.70043,0.912451,1470895190168097727
25,group1word6,group1word3,0.700746,0.913127,1470895190168140612
25,group1word6,group1word3,0.701059,0.913793,1470895190168182872
25,group1word6,group1word3,0.701369,0.914449,1470895190168224935
25,group1word6,group1word3,0.701676,0.915094,1470895190168267021
25,group1word6,group1word3,0.701981,0.91573,1470895190168308808
25,group1word6,group1word3,0.702282,0.916357,1470895190168350900
25,group1word6,group1word3,0.702581,0.916974,1470895190168393289
25,group1word6,group1word3,0.702878,0.917582,1470895190168435928
25,group1word6,group1word3,0.703171,0.918182,1470895190168477992
25,group1word6,group1word3,0.703462,0.918773,1470895190168519582
25,group1word6,group1word3,0.703751,0.919355,1470895190168567885
25,group1word6,group1word3,0.704036,0.919929,1470895190168623972
25,group1word6,group1word3,0.70432,0.920495,1470895190168672479
25,group1word6,group1word3,0.704601,0.921053,1470895190168720323
25,group1word6,group1word3,0.70488,0.921603,1470895190168768205
25,group1word6,group1word3,0.705156,0.922145,1470895190168800435
25,group1word6,group1word3,0.70543,0.92268,1470895190168841376
25,group1word6,group1word3,0.705702,0.923208,1470895190168889138
25,group1word6,group1word3,0.705971,0.923729,1470895190168936287
25,group1word6,group1word3,0.706238,0.924242,1470895190168984554
25,group1word6,group1word3,0.706504,0.924749,1470895190169032190
25,group1word6,group1word3,0.706767,0.925249,1470895190169064290
25,group1word6,group1word3,0.707027,0.925743,1470895190169105494
25,group1word6,group1word3,0.707286,0.92623,1470895190169138393
25,group1word6,group1word3,0.707543,0.92671,1470895190169178648
25,group1word6,group1word3,0.707798,0.927185,1470895190169210536
25,group1word6,group1word3,0.70805,0.927653,1470895190169251994
25,group1word6,group1word3,0.708301,0.928115,1470895190169298687
25,group1word6,group1word3,0.70855,0.928572,1470895190169331068
25,group1word6,group1word3,0.708797,0.929022,1470895190169370204
25,group1word6,group1word3,0.709042,0.929467,1470895190169402198
25,group1word6,group1word3,0.709285,0.929907,1470895190169440760
25,group1word6,group1word3,0.709527,0.930341,1470895190169472797
25,group1word6,group1word3,0.709767,0.930769,1470895190169512998
25,group1word6,group1word3,0.710004,0.931193,1470895190169560224
25,group1word6,group1word3,0.710241,0.931611,1470895190169607274
25,group1word6,group1word3,0.710475,0.932024,1470895190169655333
25,group1word6,group1word3,0.710708,0.932433,1470895190169703544
25,group1word6,group1word3,0.710939,0.932836,1470895190169736085
25,group1word6,group1word3,0.711168,0.933235,1470895190169777203
25,group1word6,group1word3,0.711396,0.933628,1470895190169825100
25,group1word6,group1word3,0.711622,0.934018,1470895190169872965
25,group1word6,group1word3,0.711847,0.934402,1470895190169919918
