0  0.05 0
1  0.15000000000000002 0
2  0.25 0
3  0.35000000000000003 0
4  0.45 0
5  0.55 0
6  0.65 0
7  0.75 0
8  0.8500000000000001 0
9  0.9500000000000001 3064
10  1.05 23985
11  1.1500000000000001 1137
12  1.25 1265
13  1.35 983
14  1.4500000000000002 1507
15  1.55 494
16  1.6500000000000001 1086
17  1.75 327
18  1.85 341
19  1.9500000000000002 249
20  2.0500000000000003 1091
21  2.15 133
22  2.25 206
23  2.35 132
24  2.45 59
25  2.5500000000000003 203
26  2.6500000000000004 71
27  2.75 73
28  2.85 35
29  2.95 53
30  3.0500000000000003 163
31  3.1500000000000004 27
32  3.25 36
33  3.35 38
34  3.45 47
35  3.5500000000000003 33
36  3.6500000000000004 15
37  3.75 26
38  3.85 26
39  3.95 18
40  4.05 41
41  4.15 14
42  4.25 20
43  4.3500000000000005 32
44  4.45 10
45  4.55 19
46  4.65 8
47  4.75 8
48  4.8500000000000005 10
49  4.95 2
50  5.050000000000001 16
51  5.15 9
52  5.25 12
53  5.3500000000000005 5
54  5.45 10
55  5.550000000000001 9
56  5.65 7
57  5.75 2
58  5.8500000000000005 10
59  5.95 4
60  6.050000000000001 10
61  6.15 6
62  6.25 5
63  6.3500000000000005 2
64  6.45 4
65  6.550000000000001 2
66  6.65 6
67  6.75 4
68  6.8500000000000005 7
69  6.95 4
70  7.050000000000001 7
71  7.15 8
72  7.25 2
73  7.3500000000000005 6
74  7.45 4
75  7.550000000000001 4
76  7.65 3
77  7.75 6
78  7.8500000000000005 1
79  7.95 3
80  8.05 4
81  8.15 5
82  8.25 4
83  8.35 0
84  8.450000000000001 3
85  8.55 1
86  8.65 1
87  8.75 3
88  8.85 3
89  8.950000000000001 2
90  9.05 3
91  9.15 3
92  9.25 4
93  9.35 4
94  9.450000000000001 5
95  9.55 1
96  9.65 1
97  9.75 1
98  9.850000000000001 0
99  9.950000000000001 100
