0  3.763294072729236 3
1  3.9205791600567657 0
2  4.077864247384295 0
3  4.235149334711825 1
4  4.392434422039355 3
5  4.549719509366884 6
6  4.707004596694414 11
7  4.864289684021944 46
8  5.021574771349474 20
9  5.178859858677003 93
10  5.336144946004533 93
11  5.4934300333320625 59
12  5.6507151206595925 1807
13  5.8080002079871225 129
14  5.9652852953146525 97
15  6.1225703826421825 894
16  6.279855469969712 128
17  6.437140557297241 142
18  6.594425644624771 357
19  6.751710731952301 1158
20  6.908995819279831 623
21  7.066280906607361 150
22  7.22356599393489 397
23  7.38085108126242 476
24  7.538136168589949 884
25  7.695421255917479 172
26  7.852706343245009 476
27  8.009991430572539 346
28  8.167276517900067 474
29  8.324561605227597 495
30  8.481846692555127 247
31  8.639131779882657 281
32  8.796416867210187 701
33  8.953701954537717 423
34  9.110987041865247 339
35  9.268272129192777 396
36  9.425557216520307 463
37  9.582842303847835 480
38  9.740127391175365 487
39  9.897412478502895 641
40  10.054697565830425 553
41  10.211982653157953 694
42  10.369267740485483 585
43  10.526552827813013 591
44  10.683837915140543 505
45  10.841123002468073 580
46  10.998408089795603 575
47  11.155693177123133 502
48  11.312978264450663 520
49  11.470263351778193 717
50  11.627548439105722 642
51  11.784833526433252 439
52  11.942118613760782 681
53  12.099403701088312 490
54  12.256688788415842 495
55  12.41397387574337 543
56  12.5712589630709 453
57  12.72854405039843 460
58  12.88582913772596 420
59  13.04311422505349 441
60  13.20039931238102 369
61  13.357684399708548 384
62  13.514969487036078 402
63  13.672254574363608 383
64  13.829539661691138 363
65  13.986824749018668 331
66  14.144109836346198 313
67  14.301394923673728 280
68  14.458680011001256 305
69  14.615965098328786 289
70  14.773250185656316 241
71  14.930535272983846 262
72  15.087820360311376 220
73  15.245105447638906 234
74  15.402390534966434 272
75  15.559675622293964 175
76  15.716960709621494 182
77  15.874245796949024 213
78  16.031530884276556 180
79  16.188815971604086 206
80  16.346101058931616 99
81  16.503386146259142 229
82  16.660671233586672 240
83  16.817956320914202 75
84  16.975241408241732 287
85  17.132526495569262 65
86  17.289811582896792 372
87  17.44709667022432 61
88  17.60438175755185 488
89  17.76166684487938 104
90  17.91895193220691 0
91  18.07623701953444 0
92  18.23352210686197 1226
93  18.3908071941895 0
94  18.54809228151703 0
95  18.70537736884456 0
96  18.86266245617209 0
97  19.01994754349962 0
98  19.17723263082715 0
99  19.33451771815468 3679
