0  1.0 15270
1  2.0 5790
2  3.0 3093
3  4.0 2043
4  5.0 1402
5  6.0 1025
6  7.0 870
7  8.0 723
8  9.0 599
9  10.0 481
10  11.0 422
11  12.0 384
12  13.0 300
13  14.0 277
14  15.0 263
15  16.0 225
16  17.0 197
17  18.0 167
18  19.0 158
19  20.0 162
20  21.0 155
21  22.0 135
22  23.0 112
23  24.0 116
24  25.0 118
25  26.0 126
26  27.0 94
27  28.0 86
28  29.0 88
29  30.0 87
30  31.0 78
31  32.0 61
32  33.0 82
33  34.0 67
34  35.0 59
35  36.0 52
36  37.0 68
37  38.0 55
38  39.0 39
39  40.0 49
40  41.0 45
41  42.0 44
42  43.0 34
43  44.0 39
44  45.0 38
45  46.0 47
46  47.0 30
47  48.0 40
48  49.0 33
49  50.0 38
50  51.0 26
51  52.0 28
52  53.0 33
53  54.0 29
54  55.0 29
55  56.0 24
56  57.0 28
57  58.0 31
58  59.0 32
59  60.0 25
60  61.0 16
61  62.0 20
62  63.0 20
63  64.0 21
64  65.0 13
65  66.0 22
66  67.0 19
67  68.0 19
68  69.0 17
69  70.0 19
70  71.0 24
71  72.0 19
72  73.0 20
73  74.0 11
74  75.0 16
75  76.0 9
76  77.0 11
77  78.0 13
78  79.0 8
79  80.0 15
80  81.0 11
81  82.0 18
82  83.0 9
83  84.0 9
84  85.0 7
85  86.0 10
86  87.0 8
87  88.0 8
88  89.0 8
89  90.0 13
90  91.0 12
91  92.0 6
92  93.0 9
93  94.0 6
94  95.0 9
95  96.0 8
96  97.0 11
97  98.0 15
98  99.0 15
99  100.0 8
100  101.0 10
101  102.0 9
102  103.0 8
103  104.0 6
104  105.0 7
105  106.0 5
106  107.0 5
107  108.0 5
108  109.0 8
109  110.0 8
110  111.0 3
111  112.0 7
112  113.0 6
113  114.0 2
114  115.0 10
115  116.0 10
116  117.0 3
117  118.0 3
118  119.0 3
119  120.0 7
120  121.0 6
121  122.0 8
122  123.0 3
123  124.0 4
124  125.0 4
125  126.0 6
126  127.0 6
127  128.0 4
128  129.0 8
129  130.0 1
130  131.0 6
131  132.0 5
132  133.0 3
133  134.0 3
134  135.0 3
135  136.0 5
136  137.0 6
137  138.0 3
138  139.0 6
139  140.0 5
140  141.0 1
141  142.0 3
142  143.0 2
143  144.0 3
144  145.0 4
145  146.0 3
146  147.0 8
147  148.0 4
148  149.0 5
149  150.0 1
150  151.0 1
151  152.0 2
152  153.0 2
153  154.0 4
154  155.0 1
155  156.0 2
156  157.0 4
157  158.0 1
158  159.0 1
159  160.0 4
160  161.0 1
161  162.0 2
162  163.0 1
163  164.0 1
164  165.0 5
165  166.0 3
166  167.0 1
167  168.0 3
168  169.0 2
169  170.0 4
170  171.0 2
171  172.0 4
172  173.0 4
173  174.0 2
174  175.0 3
175  176.0 3
176  177.0 1
177  178.0 4
178  179.0 2
179  180.0 2
180  181.0 2
181  182.0 3
182  183.0 1
183  184.0 4
184  185.0 3
185  186.0 1
186  187.0 2
187  188.0 1
188  189.0 0
189  190.0 2
190  191.0 1
191  192.0 0
192  193.0 1
193  194.0 1
194  195.0 4
195  196.0 3
196  197.0 1
197  198.0 3
198  199.0 4
199  200.0 267
