0  13.847653124234245 1
1  13.903075998920311 0
2  13.958498873606375 0
3  14.013921748292441 0
4  14.069344622978505 0
5  14.124767497664571 1
6  14.180190372350635 0
7  14.235613247036701 0
8  14.291036121722765 0
9  14.346458996408831 1
10  14.401881871094895 0
11  14.457304745780961 0
12  14.512727620467025 1
13  14.568150495153091 0
14  14.623573369839157 1
15  14.678996244525221 0
16  14.734419119211287 0
17  14.789841993897351 0
18  14.845264868583417 0
19  14.900687743269481 0
20  14.956110617955547 1
21  15.011533492641611 1
22  15.066956367327677 1
23  15.122379242013741 0
24  15.177802116699807 0
25  15.233224991385871 0
26  15.288647866071937 2
27  15.344070740758003 1
28  15.399493615444067 2
29  15.454916490130131 1
30  15.510339364816197 0
31  15.565762239502263 1
32  15.621185114188327 3
33  15.676607988874393 1
34  15.732030863560457 2
35  15.787453738246523 1
36  15.842876612932587 1
37  15.898299487618653 0
38  15.953722362304717 1
39  16.009145236990783 3
40  16.06456811167685 2
41  16.119990986362914 3
42  16.175413861048977 2
43  16.230836735735043 2
44  16.28625961042111 5
45  16.34168248510717 2
46  16.397105359793237 4
47  16.452528234479303 3
48  16.50795110916537 6
49  16.563373983851434 4
50  16.618796858537497 4
51  16.674219733223563 2
52  16.72964260790963 7
53  16.785065482595694 12
54  16.840488357281757 4
55  16.895911231967823 8
56  16.95133410665389 10
57  17.006756981339954 13
58  17.06217985602602 7
59  17.117602730712083 14
60  17.17302560539815 12
61  17.228448480084214 8
62  17.28387135477028 42
63  17.339294229456343 17
64  17.39471710414241 23
65  17.450139978828474 19
66  17.50556285351454 10
67  17.560985728200603 20
68  17.61640860288667 27
69  17.671831477572734 24
70  17.7272543522588 151
71  17.782677226944863 29
72  17.83810010163093 35
73  17.893522976316994 41
74  17.94894585100306 71
75  18.004368725689126 50
76  18.05979160037519 47
77  18.115214475061254 157
78  18.17063734974732 103
79  18.226060224433386 67
80  18.28148309911945 1011
81  18.336905973805514 184
82  18.39232884849158 104
83  18.447751723177646 153
84  18.503174597863712 272
85  18.558597472549774 190
86  18.61402034723584 1009
87  18.669443221921906 213
88  18.72486609660797 347
89  18.780288971294034 935
90  18.8357118459801 421
91  18.891134720666166 878
92  18.946557595352232 774
93  19.001980470038298 667
94  19.05740334472436 825
95  19.112826219410426 679
96  19.168249094096492 538
97  19.223671968782554 240
98  19.27909484346862 26876
99  19.334517718154686 3
